maths_midsem,maths_quiz,maths_internal,maths_endsem,maths_total,science_midsem,science_quiz,science_internal,science_endsem,science_total,english_midsem,english_quiz,english_internal,english_endsem,english_total,hindi_midsem,hindi_quiz,hindi_internal,hindi_endsem,hindi_total,social_science_midsem,social_science_quiz,social_science_internal,social_science_endsem,social_science_total,computer_science_midsem,computer_science_quiz,computer_science_internal,computer_science_endsem,computer_science_total,attendance_score,overall_marks_avg,final_weighted_score,result
3,7,0,38,48,14,9,13,11,47,8,8,1,8,25,16,7,7,8,38,24,7,4,21,56,6,1,7,41,55,3.93,44.833333333333336,44.00333333333334,0
17,0,11,3,31,4,6,7,21,38,15,8,14,32,69,8,8,1,2,19,9,8,0,13,30,5,8,8,42,63,3.46,41.666666666666664,40.60666666666666,0
7,1,5,8,21,21,5,9,11,46,15,9,7,12,43,17,3,5,46,71,7,9,12,48,76,4,10,12,27,53,5.73,51.666666666666664,52.51166666666666,0
3,8,1,16,28,16,0,2,13,31,11,8,1,19,39,13,9,9,47,78,5,0,8,46,59,24,7,10,36,77,1.13,52.0,45.894999999999996,0
1,10,7,48,66,13,10,9,41,73,24,1,1,43,69,3,3,9,7,22,3,1,10,40,54,10,5,3,23,41,7.3,54.166666666666664,56.99166666666666,0
5,7,4,19,35,0,7,4,47,58,24,6,3,10,43,14,6,15,9,44,8,3,5,33,49,14,10,1,47,72,8.23,50.166666666666664,54.986666666666665,0
21,6,14,13,54,13,8,1,35,57,10,6,9,40,65,3,4,14,42,63,14,7,15,14,50,16,7,3,35,61,0.39,58.333333333333336,50.16833333333334,1
9,6,15,45,75,8,0,9,13,30,17,3,0,28,48,4,3,10,24,41,15,7,14,35,71,3,10,14,0,27,1.55,48.666666666666664,43.69166666666666,0
3,4,2,28,37,4,4,5,1,14,12,4,10,46,72,25,1,15,49,90,22,3,12,46,83,21,4,11,16,52,1.16,58.0,51.04,0
21,1,1,12,35,3,6,1,1,11,2,5,6,12,25,3,1,0,35,39,1,7,2,2,12,0,10,1,43,54,9.39,29.333333333333332,39.01833333333333,0
17,10,7,35,69,0,1,14,42,57,17,6,1,43,67,23,3,0,2,28,3,10,5,49,67,24,3,6,38,71,6.91,59.833333333333336,61.22333333333333,0
25,5,6,44,80,2,5,3,42,52,10,1,14,13,38,8,9,14,39,70,1,1,5,47,54,9,3,6,11,29,2.87,53.833333333333336,50.06333333333333,0
11,9,8,16,44,19,7,14,5,45,10,9,13,8,40,10,7,9,26,52,7,0,10,42,59,14,0,15,37,66,0.97,51.0,44.805,1
1,2,7,46,56,10,7,2,24,43,4,1,14,41,60,13,7,1,22,43,23,3,0,0,26,0,6,15,36,57,6.67,47.5,50.38,0
9,3,10,49,71,15,9,0,2,26,2,1,13,37,53,11,6,5,43,65,10,8,8,22,48,20,9,2,38,69,0.89,55.333333333333336,48.36833333333333,0
3,9,3,42,57,10,9,7,22,48,24,4,5,18,51,17,3,3,30,53,22,2,3,11,38,14,6,15,28,63,9.22,51.666666666666664,57.74666666666666,0
13,10,15,3,41,20,7,7,8,42,1,5,13,41,60,11,6,10,33,60,5,7,2,15,29,9,4,11,13,37,2.65,44.833333333333336,42.083333333333336,0
15,1,1,19,36,9,5,0,30,44,14,10,4,46,74,8,8,7,3,26,9,2,13,9,33,13,9,3,37,62,2.66,45.833333333333336,42.94833333333334,0
14,1,13,10,38,11,5,11,27,54,4,5,13,7,29,1,7,6,11,25,22,9,3,10,44,16,4,6,34,60,4.59,41.666666666666664,42.30166666666666,0
7,7,12,41,67,4,10,5,24,43,4,2,4,17,27,18,4,3,48,73,3,4,1,9,17,24,2,6,10,42,9.44,44.833333333333336,52.26833333333333,0
13,7,1,21,42,9,2,11,34,56,20,3,12,33,68,5,2,12,46,65,2,5,2,43,52,0,4,13,17,34,3.9,52.833333333333336,50.75833333333333,0
22,9,1,44,76,23,1,0,0,24,15,6,3,35,59,12,1,3,36,52,11,4,11,41,67,18,5,14,9,46,3.44,54.0,51.059999999999995,0
24,5,13,7,49,12,4,12,1,29,16,6,13,8,43,24,3,12,47,86,0,6,9,32,47,0,0,9,48,57,5.85,51.833333333333336,52.833333333333336,0
7,4,10,27,48,18,8,8,14,48,25,5,4,15,49,14,10,15,18,57,13,3,14,25,55,16,3,6,8,33,9.77,48.333333333333336,55.73833333333333,0
20,7,11,44,82,6,3,0,42,51,6,0,11,4,21,22,8,4,16,50,10,3,10,9,32,23,8,2,8,41,2.45,46.166666666666664,42.916666666666664,0
15,3,5,40,63,15,4,14,39,72,1,9,10,50,70,23,9,11,25,68,7,3,2,37,49,5,9,2,49,65,8.68,64.5,67.845,1
12,10,6,29,57,5,5,15,15,40,13,5,8,14,40,1,3,14,22,40,12,8,15,9,44,10,1,4,28,43,4.96,44.0,44.839999999999996,1
17,3,11,32,63,9,10,2,22,43,17,0,12,23,52,24,8,6,24,62,1,0,7,15,23,22,6,14,11,53,7.88,49.333333333333336,53.75333333333334,0
14,4,5,32,55,9,5,8,48,70,24,10,12,46,92,15,9,14,41,79,5,9,9,16,39,18,7,9,38,72,3.68,67.83333333333333,63.17833333333333,0
20,0,1,46,67,25,3,0,34,62,11,4,11,43,69,5,4,9,5,23,23,6,6,25,60,3,10,0,15,28,4.51,51.5,50.54,0
23,0,3,35,61,10,3,14,7,34,16,5,11,47,79,13,2,11,19,45,13,2,15,21,51,12,3,2,10,27,3.89,49.5,47.91,0
25,1,2,26,54,21,7,1,6,35,24,6,0,42,72,18,5,12,4,39,3,9,0,7,19,25,6,8,42,81,5.13,50.0,50.195,0
24,7,10,19,60,9,4,3,20,36,5,7,1,38,51,14,8,8,28,58,1,8,1,10,20,1,4,12,1,18,1.61,40.5,36.839999999999996,0
12,6,12,32,62,24,10,6,34,74,4,8,11,24,47,17,7,4,34,62,2,7,7,2,18,4,0,7,41,52,8.28,52.5,57.045,0
8,9,3,24,44,13,4,7,38,62,20,5,15,15,55,11,2,13,35,61,25,8,15,12,60,0,9,3,43,55,3.89,56.166666666666664,53.57666666666666,1
14,8,4,43,69,14,8,0,36,58,20,10,14,41,85,1,3,2,41,47,22,5,13,44,84,9,4,3,17,33,3.3,62.666666666666664,58.21666666666667,0
12,4,6,42,64,6,3,0,32,41,21,6,6,21,54,25,3,8,34,70,19,6,12,44,81,6,9,2,2,19,8.38,54.833333333333336,59.178333333333335,0
0,1,13,18,32,12,6,4,36,58,6,3,8,49,66,24,0,15,11,50,17,6,10,37,70,13,7,6,46,72,2.16,58.0,52.54,0
24,6,8,46,84,10,4,15,34,63,24,9,2,15,50,19,4,11,25,59,6,7,12,42,67,1,3,9,31,44,7.27,61.166666666666664,62.89666666666666,1
6,7,14,20,47,6,8,7,17,38,17,6,5,32,60,23,2,12,46,83,3,8,15,38,64,22,2,7,38,69,3.41,60.166666666666664,56.25666666666667,0
8,6,10,41,65,10,7,14,18,49,19,9,12,4,44,15,6,13,22,56,14,0,1,7,22,11,7,12,39,69,5.71,50.833333333333336,51.77333333333333,0
23,6,1,32,62,13,7,0,9,29,10,0,4,6,20,22,6,0,44,72,22,4,0,9,35,11,1,7,31,50,5.17,44.666666666666664,45.721666666666664,0
0,4,7,2,13,16,9,2,3,30,4,2,15,17,38,20,4,1,3,28,11,1,4,39,55,23,1,4,6,34,5.8,33.0,36.75,0
11,1,2,13,27,15,9,5,29,58,5,0,8,5,18,19,4,3,7,33,7,8,13,45,73,6,10,0,34,50,5.83,43.166666666666664,45.43666666666666,0
7,5,8,14,34,0,2,12,44,58,6,10,14,48,78,21,0,12,26,59,21,3,3,50,77,3,5,8,39,55,6.88,60.166666666666664,61.461666666666666,0
23,3,9,32,67,8,8,0,32,48,2,7,8,11,28,25,3,5,27,60,7,9,14,28,58,7,4,12,13,36,4.68,49.5,49.095,0
10,9,11,41,71,8,7,13,3,31,2,2,12,43,59,14,0,2,7,23,6,1,3,29,39,24,2,5,0,31,4.92,42.333333333333336,43.36333333333334,0
18,1,15,21,55,9,2,2,8,21,24,6,14,32,76,7,0,9,43,59,17,9,10,48,84,2,2,12,37,53,7.59,58.0,60.684999999999995,0
16,8,3,0,27,18,9,11,16,54,24,1,11,33,69,20,7,2,13,42,17,6,2,19,44,1,4,11,40,56,2.09,48.666666666666664,44.50166666666666,0
7,6,14,30,57,14,0,0,42,56,1,4,9,20,34,1,8,8,40,57,5,9,8,1,23,25,9,12,43,89,7.79,52.666666666666664,56.45166666666667,0
2,5,15,46,68,15,4,3,38,60,19,2,2,17,40,13,1,2,5,21,24,4,0,34,62,4,8,14,6,32,0.08,47.166666666666664,40.21166666666666,0
2,4,2,34,42,10,3,8,23,44,3,9,9,13,34,3,8,4,40,55,15,7,5,38,65,13,6,11,45,75,5.77,52.5,53.28,0
0,2,9,19,30,23,7,12,38,80,4,2,9,41,56,10,0,12,21,43,14,6,3,0,23,3,5,8,33,49,4.36,46.833333333333336,46.348333333333336,0
4,9,5,31,49,24,5,15,12,56,1,4,1,29,35,16,8,2,24,50,25,8,8,44,85,23,3,12,0,38,6.33,52.166666666666664,53.83666666666666,0
9,9,15,11,44,16,9,4,25,54,15,7,12,45,79,24,0,0,7,31,5,4,13,36,58,9,2,2,13,26,4.89,48.666666666666664,48.70166666666666,0
6,3,9,50,68,18,4,13,18,53,11,1,9,2,23,21,9,4,38,72,12,7,3,9,31,21,9,9,50,89,7.9,56.0,59.45,0
25,2,12,15,54,12,8,2,16,38,14,10,3,12,39,6,9,14,39,68,8,6,4,26,44,21,6,15,27,69,1.98,52.0,47.169999999999995,0
8,10,8,7,33,5,5,9,49,68,3,3,11,50,67,0,7,4,30,41,11,4,3,13,31,2,10,11,20,43,2.7,47.166666666666664,44.14166666666666,0
6,7,6,13,32,14,10,6,29,59,2,3,11,36,52,20,0,10,3,33,15,8,8,9,40,20,7,4,26,57,5.78,45.5,47.345,0
8,2,3,17,30,15,10,13,25,63,13,10,8,18,49,8,7,2,17,34,25,1,8,33,67,4,3,9,26,42,2.36,47.5,43.915,0
7,6,2,29,44,3,10,5,12,30,12,4,2,36,54,16,0,8,34,58,6,2,11,11,30,6,1,8,7,22,9.45,39.666666666666664,47.89166666666666,0
11,6,9,32,58,7,10,10,48,75,5,5,3,12,25,0,7,9,50,66,7,3,1,22,33,6,6,6,12,30,8.6,47.833333333333336,53.55833333333333,0
1,6,3,33,43,24,2,8,17,51,3,8,1,14,26,1,1,11,35,48,18,9,9,46,82,7,2,2,44,55,7.6,50.833333333333336,54.608333333333334,0
0,6,2,43,51,6,5,3,20,34,0,4,0,25,29,18,4,11,16,49,19,7,0,3,29,12,1,7,49,69,7.52,43.5,48.254999999999995,0
15,1,15,48,79,16,10,3,33,62,2,9,4,5,20,21,6,3,42,72,0,5,3,13,21,20,4,6,49,79,6.47,55.5,56.879999999999995,0
22,9,11,33,75,15,3,15,50,83,23,7,3,26,59,10,7,2,33,52,10,9,9,26,54,12,8,15,36,71,7.35,65.66666666666667,66.84166666666667,1
22,2,2,48,74,1,4,8,46,59,11,4,9,11,35,21,5,12,39,77,8,0,10,39,57,12,2,4,36,54,0.34,59.333333333333336,50.943333333333335,0
23,9,11,6,49,16,5,1,8,30,2,2,1,47,52,9,7,4,19,39,12,2,4,17,35,20,0,14,38,72,5.81,46.166666666666664,47.95666666666666,0
4,8,13,5,30,24,8,9,29,70,22,5,15,24,66,9,2,13,47,71,2,0,4,13,19,12,0,4,23,39,2.62,49.166666666666664,45.721666666666664,0
2,2,12,5,21,3,2,1,28,34,17,3,5,49,74,0,6,6,29,41,16,9,6,35,66,4,6,13,12,35,0.98,45.166666666666664,39.861666666666665,0
11,1,8,21,41,25,0,8,28,61,13,4,4,46,67,2,6,1,9,18,8,5,3,0,16,19,0,8,44,71,9.72,45.666666666666664,53.39666666666666,0
7,8,3,7,25,13,1,6,45,65,4,7,0,15,26,15,1,14,35,65,24,3,1,13,41,5,4,6,19,34,9.46,42.666666666666664,50.45666666666666,0
21,9,8,36,74,7,7,4,18,36,22,10,15,45,92,12,9,4,37,62,17,1,3,48,69,25,6,8,50,89,9.06,70.33333333333333,73.37333333333332,0
2,8,11,14,35,4,3,15,7,29,0,10,9,15,34,8,2,2,46,58,15,6,0,47,68,12,2,13,13,40,6.47,44.0,47.105,0
0,3,14,25,42,4,6,13,43,66,13,3,2,2,20,7,7,8,47,69,6,8,8,33,55,6,8,13,3,30,0.03,47.0,39.995,0
2,8,9,38,57,4,1,4,16,25,11,6,3,33,53,10,10,7,44,71,25,10,10,25,70,2,1,11,14,28,2.97,50.666666666666664,47.52166666666666,0
4,2,4,2,12,4,10,8,11,33,0,2,0,23,25,8,8,8,31,55,17,2,8,44,71,1,5,6,50,62,0.18,43.0,36.82,0
14,6,6,9,35,2,9,12,14,37,23,3,11,41,78,10,1,5,17,33,14,9,3,5,31,2,6,12,24,44,3.3,43.0,41.5,0
13,6,13,2,34,5,7,14,4,30,1,7,11,45,64,23,8,3,47,81,4,10,4,45,63,22,0,15,0,37,2.97,51.5,48.23,0
2,10,4,29,45,0,9,9,33,51,11,7,12,22,52,24,2,11,32,69,1,8,12,36,57,13,1,4,4,22,5.72,49.333333333333336,50.513333333333335,0
0,7,0,45,52,7,8,4,49,68,12,8,10,29,59,22,0,8,14,44,6,10,9,22,47,1,10,7,13,31,1.42,50.166666666666664,44.77166666666667,0
4,9,1,21,35,12,6,8,2,28,19,3,7,48,77,25,10,3,43,81,14,0,8,43,65,17,10,14,49,90,3.24,62.666666666666664,58.126666666666665,0
25,3,10,2,40,19,9,7,4,39,14,9,2,20,45,12,0,3,43,58,17,9,9,44,79,21,4,15,36,76,8.98,56.166666666666664,61.21166666666666,0
22,2,14,0,38,5,10,5,33,53,15,3,14,16,48,13,6,1,34,54,5,5,0,15,25,8,8,5,14,35,2.31,42.166666666666664,39.306666666666665,0
13,2,4,32,51,17,0,4,8,29,18,4,4,17,43,8,7,15,23,53,7,10,4,31,52,2,2,13,6,23,4.93,41.833333333333336,42.95333333333333,0
6,4,5,18,33,17,1,12,23,53,4,4,15,2,25,2,0,14,30,46,11,0,12,6,29,3,8,2,11,24,1.19,35.0,31.535,0
8,10,6,35,59,15,8,4,4,31,1,2,11,46,60,21,10,14,31,76,20,10,5,43,78,4,9,14,2,29,7.53,55.5,58.47,0
14,0,1,33,48,7,9,4,26,46,5,0,2,11,18,5,6,15,32,58,2,5,10,46,63,24,6,11,50,91,0.81,54.0,47.115,0
14,9,9,30,62,16,6,13,48,83,7,9,3,15,34,13,6,0,39,58,24,3,12,16,55,22,6,10,45,83,1.68,62.5,55.645,0
25,2,8,42,77,7,10,0,19,36,20,0,14,37,71,12,6,9,49,76,24,2,0,4,30,0,7,11,19,37,9.86,54.5,61.114999999999995,0
9,5,5,23,42,14,2,10,46,72,6,7,8,13,34,0,5,13,43,61,6,10,12,11,39,4,1,15,10,30,2.97,46.333333333333336,43.83833333333333,0
12,2,1,11,26,25,4,4,44,77,20,3,12,26,61,13,3,3,42,61,18,4,14,25,61,20,0,12,19,51,0.11,56.166666666666664,47.90666666666666,0
18,4,15,12,49,9,0,2,40,51,12,10,12,17,51,11,3,12,41,67,16,10,12,7,45,13,1,11,49,74,2.38,56.166666666666664,51.31166666666666,1
6,8,1,15,30,0,9,5,1,15,5,9,2,19,35,25,9,5,35,74,25,5,4,8,42,14,1,4,29,48,4.31,40.666666666666664,41.03166666666666,0
16,1,2,15,34,8,2,8,22,40,8,10,15,34,67,25,5,14,10,54,14,2,3,31,50,23,3,13,41,80,4.71,54.166666666666664,53.10666666666666,0
19,10,0,50,79,16,10,11,33,70,11,1,7,16,35,22,7,3,31,63,10,1,5,43,59,15,1,1,45,62,4.07,61.333333333333336,58.23833333333333,0
3,1,8,19,31,19,3,14,28,64,9,5,5,19,38,2,7,15,46,70,2,1,1,21,25,4,4,9,38,55,1.36,47.166666666666664,42.13166666666666,0
4,5,13,40,62,24,3,2,42,71,10,8,5,5,28,13,2,3,2,20,5,8,11,45,69,5,10,11,21,47,1.87,49.5,44.879999999999995,0
22,5,9,47,83,0,6,0,34,40,0,4,0,25,29,1,9,1,48,59,24,3,2,7,36,2,8,8,30,48,6.67,49.166666666666664,51.79666666666667,0
6,10,10,26,52,8,4,7,29,48,9,2,11,6,28,22,5,15,7,49,16,2,5,27,50,15,2,1,30,48,9.73,45.833333333333336,53.553333333333335,0
12,10,3,38,63,13,8,11,2,34,24,3,10,37,74,9,3,2,32,46,22,9,5,8,44,3,9,5,36,53,7.49,52.333333333333336,55.718333333333334,0
14,7,4,12,37,23,6,12,9,50,15,1,6,11,33,3,8,13,38,62,9,8,7,46,70,17,1,4,6,28,7.7,46.666666666666664,51.21666666666666,0
